Sun 13 Jul , Santa Cruz , 1 - 1 , Santa C. Natal-
Sun 13 Jul , Manaus , 3 - 3 , Aguia de Maraba+
Sun 13 Jul , EC Sao Jose , 1 - 0 , Brasil de P.-
Sun 13 Jul , America RN , 0 - 0 , Central SC-
Mon 14 Jul , Marcilio Dias , 1 - 0 , Barra FC-
Sat 19 Jul , Cianorte , 3 - 1 , Itabirito+
Sat 19 Jul , Santa C. Natal , 1 - 2 , Ferroviario+
Sat 19 Jul , Agua Santa , 2 - 1 , Nova Iguacu+
Sat 19 Jul , Boavista , 0 - 2 , Rio Branco ES-
Sat 19 Jul , Marica , 0 - 1 , Portuguesa-
Sat 19 Jul , Goianesia , 1 - 1 , Luverdense-
Sat 19 Jul , Iguatu , 1 - 0 , Imperatriz-
Sat 19 Jul , Manauara , 3 - 0 , GAS+
Sat 19 Jul , Maranhao , 3 - 0 , Maracana+
Sat 19 Jul , Sao Luiz , 0 - 2 , Barra FC-
Sat 19 Jul , Tocantinopolis , 1 - 0 , Altos-
Sat 19 Jul , Trem , 2 - 1 , Tuna Luso+
Sat 19 Jul , Aguia de Maraba , 4 - 1 , Independencia+
Sat 19 Jul , Goiatuba EC , 0 - 0 , Cascavel-
Sat 19 Jul , Lagarto , 2 - 0 , Barcelona BA-
Sat 19 Jul , Porto Vitória , 3 - 0 , Pouso Alegre+
Sat 19 Jul , Uberlandia , 0 - 3 , Inter Limeira+
Sat 19 Jul , Mixto , 0 - 0 , Aparecidense-
Sun 20 Jul , Brasil de P. , 4 - 0 , Azuriz+
Sun 20 Jul , Capital , 3 - 0 , Porto Velho+
Sun 20 Jul , Central SC , 1 - 1 , Sousa-
Sun 20 Jul , Goiania , 2 - 2 , Ceilandia+
Sun 20 Jul , Horizonte , 2 - 0 , Santa Cruz-
Sun 20 Jul , Jequie , 0 - 0 , ASA-
Sun 20 Jul , Joinville , 0 - 2 , EC Sao Jose-
Sun 20 Jul , Juazeirense , 0 - 0 , Sergipe-
Sun 20 Jul , Marcilio Dias , 1 - 1 , Guarany de Bage-
Sun 20 Jul , Parnahyba , 2 - 2 , Sampaio Correa+
Sun 20 Jul , Penedense , 1 - 1 , Uniao C.-
Sun 20 Jul , Treze , 1 - 2 , America RN+
Sun 20 Jul , Humaita , 1 - 2 , Manaus+
Sat 26 Jul , Altos , 0 - 1 , Maranhao-
Sat 26 Jul , Cascavel , 2 - 1 , Uberlandia+
Sat 26 Jul , Imperatriz , 3 - 2 , Parnahyba+
