Sat 20 Sep , AC Numazu , 1 - 0 , Nara Club
Sat 20 Sep , Tochigi City , 3 - 0 , Kochi United
Sat 20 Sep , V. Hachinohe , 1 - 0 , Fukushima Utd
Sat 20 Sep , Gifu , 2 - 1 , Nagano Parceiro
Sat 20 Sep , Gainare Tottori , 3 - 1 , Kusatsu
Sat 20 Sep , Kagoshima Utd , 2 - 0 , T. Miyazaki
Sat 20 Sep , Tochigi SC , 4 - 1 , FC Ryukyu
Sun 21 Sep , Kamatamare S. , 2 - 0 , SC Sagamihara
Fri 26 Sep , V. Hachinohe , 1 - 0 , Kagoshima Utd
Sat 27 Sep , AC Numazu , 1 - 2 , Gifu
Sat 27 Sep , G. Kitakyushu , 0 - 2 , Kochi United
Sat 27 Sep , Nara Club , 1 - 1 , Osaka
Sat 27 Sep , Tochigi City , 1 - 0 , Gainare Tottori
Sat 27 Sep , Z. Kanazawa , 2 - 1 , Kamatamare S.
Sat 27 Sep , Kusatsu , 1 - 1 , SC Sagamihara
Sat 27 Sep , T. Miyazaki , 4 - 2 , FC Ryukyu
Sun 28 Sep , Fukushima Utd , 1 - 4 , Nagano Parceiro
Sun 28 Sep , Matsumoto Y. , 1 - 1 , Tochigi SC
Sat 4 Oct , Gifu , 2 - 1 , Kusatsu
Sat 4 Oct , Nagano Parceiro , 1 - 3 , Z. Kanazawa
Sat 4 Oct , FC Ryukyu , 0 - 2 , Nara Club
Sat 4 Oct , Kagoshima Utd , 0 - 3 , Tochigi City
Sat 4 Oct , SC Sagamihara , 0 - 1 , V. Hachinohe
Sun 5 Oct , Fukushima Utd , 1 - 0 , Matsumoto Y.
Sun 5 Oct , Gainare Tottori , 1 - 2 , Osaka
Sun 5 Oct , Kamatamare S. , 1 - 5 , T. Miyazaki
Sun 5 Oct , Kochi United , 0 - 1 , AC Numazu
Sun 5 Oct , Tochigi SC , 0 - 1 , G. Kitakyushu
Fri 10 Oct , Osaka , 3 - 0 , FC Ryukyu
Sat 11 Oct , G. Kitakyushu , 1 - 1 , Kagoshima Utd
Sat 11 Oct , Tochigi City , 3 - 0 , Nara Club
Sun 12 Oct , Gainare Tottori , 2 - 1 , SC Sagamihara
Sun 12 Oct , Kochi United , 1 - 3 , Gifu
Sun 12 Oct , Kusatsu , 0 - 4 , V. Hachinohe
