Sun 14 Sep , New Mexico , 0 - 1 , FC Tulsa
Sun 14 Sep , Monterey Bay , 0 - 4 , Hartford A.
Sun 14 Sep , Sacramento R. , 2 - 2 , Phoenix Rising
Sun 14 Sep , Las Vegas L. , 0 - 0 , Miami FC
Wed 17 Sep , Birmingham L. , 1 - 4 , Tampa Bay
Fri 19 Sep , Miami FC , 0 - 1 , Rhode Island
Sat 20 Sep , Detroit City , 0 - 1 , Lexington
Sat 20 Sep , Hartford A. , 1 - 2 , Pittsburgh
Sat 20 Sep , Louisville City , 3 - 1 , Las Vegas L.
Sat 20 Sep , Tampa Bay , 2 - 2 , North Carolina
Sun 21 Sep , Colorado S. , 0 - 2 , Sacramento R.
Sun 21 Sep , San Antonio , 3 - 1 , Orange County
Sun 21 Sep , El Paso , 0 - 2 , Charleston
Sun 21 Sep , Monterey Bay , 1 - 1 , New Mexico
Sun 21 Sep , Oakland Roots , 1 - 1 , FC Tulsa
Sun 21 Sep , Phoenix Rising , 2 - 2 , Loudoun Utd
Sun 21 Sep , Indy Eleven , 2 - 1 , Birmingham L.
Thu 25 Sep , Colorado S. , 1 - 2 , New Mexico
Fri 26 Sep , North Carolina , 1 - 0 , Miami FC
Sat 27 Sep , El Paso , 2 - 2 , Rhode Island
Sat 27 Sep , Detroit City , 0 - 1 , Louisville City
Sat 27 Sep , Indy Eleven , 2 - 1 , FC Tulsa
Sun 28 Sep , Colorado S. , 0 - 2 , Hartford A.
Sun 28 Sep , San Antonio , 0 - 0 , Birmingham L.
Sun 28 Sep , Monterey Bay , 1 - 0 , Sacramento R.
Sun 28 Sep , Orange County , 2 - 2 , Charleston
Sun 28 Sep , Phoenix Rising , 3 - 3 , Oakland Roots
Sun 28 Sep , Loudoun Utd , 2 - 2 , Tampa Bay
Sun 28 Sep , Pittsburgh , 1 - 0 , Las Vegas L.
Sun 28 Sep , New Mexico , 2 - 1 , Lexington
Wed 1 Oct , El Paso , 3 - 1 , Oakland Roots
Thu 2 Oct , Birmingham L. , 1 - 1 , North Carolina
Thu 2 Oct , Sacramento R. , 2 - 1 , Orange County
Sat 4 Oct , Detroit City , 2 - 0 , North Carolina
Sat 4 Oct , Loudoun Utd , 0 - 1 , Birmingham L.
Sat 4 Oct , Miami FC , 3 - 1 , Pittsburgh
Sat 4 Oct , Louisville City , 2 - 0 , Indy Eleven
Sat 4 Oct , Tampa Bay , 4 - 0 , Monterey Bay
Sun 5 Oct , Colorado S. , 1 - 0 , San Antonio
Sun 5 Oct , FC Tulsa , 3 - 0 , Lexington
