Sat 28 Jun , M. Yamagata , 1 - 2 , Nagasaki
Sat 28 Jun , Oita Trinita , 0 - 0 , Omiya Ardija
Sat 28 Jun , R. Yamaguchi , 1 - 1 , Blaublitz Akita
Sat 28 Jun , Sagan Tosu , 1 - 0 , Iwaki
Sat 28 Jun , Jubilo Iwata , 0 - 1 , Vegalta Sendai
Sat 5 Jul , C. Sapporo , 1 - 0 , R. Yamaguchi
Sat 5 Jul , Blaublitz Akita , 0 - 2 , Mito Hollyhock
Sat 5 Jul , V-V. Nagasaki , 1 - 0 , Oita Trinita
Sat 5 Jul , FC Imabari , 2 - 4 , Ventforet Kofu
Sat 5 Jul , JEF Utd Chiba , 0 - 2 , Sagan Tosu
Sat 5 Jul , Omiya Ardija , 1 - 2 , Iwaki
Sat 5 Jul , Tokushima V. , 0 - 2 , Fujieda MYFC
Sat 5 Jul , Vegalta Sendai , 0 - 1 , Kataller Toyama
Sun 6 Jul , R. Kumamoto , 2 - 0 , Jubilo Iwata
Sun 6 Jul , Ehime FC , 1 - 3 , M. Yamagata
Sat 12 Jul , Blaublitz Akita , 3 - 2 , R. Kumamoto
Sat 12 Jul , Iwaki , 1 - 1 , Nagasaki
Sat 12 Jul , Mito Hollyhock , 3 - 0 , Kataller Toyama
Sat 12 Jul , FC Imabari , 1 - 0 , Ehime FC
Sat 12 Jul , Ventforet Kofu , 1 - 0 , Omiya Ardija
Sat 12 Jul , Fujieda MYFC , 1 - 1 , Vegalta Sendai
Sat 12 Jul , M. Yamagata , 0 - 1 , JEF Utd Chiba
Sat 12 Jul , R. Yamaguchi , 0 - 0 , Tokushima V.
Sat 12 Jul , Sagan Tosu , 2 - 1 , Oita Trinita
Sat 12 Jul , Jubilo Iwata , 5 - 1 , C. Sapporo
Sat 2 Aug , C. Sapporo , 1 - 0 , Sagan Tosu
Sat 2 Aug , Kataller Toyama , 0 - 2 , Omiya Ardija
Sat 2 Aug , V-V. Nagasaki , 0 - 0 , Vegalta Sendai
Sat 2 Aug , Ventforet Kofu , 1 - 3 , M. Yamagata
Sat 2 Aug , Fujieda MYFC , 2 - 2 , R. Yamaguchi
Sat 2 Aug , JEF Utd Chiba , 2 - 2 , Iwaki
Sat 2 Aug , Oita Trinita , 0 - 1 , FC Imabari
Sat 2 Aug , Tokushima V. , 1 - 0 , Ehime FC
Sat 2 Aug , Jubilo Iwata , 1 - 4 , Blaublitz Akita
Sun 3 Aug , R. Kumamoto , 2 - 1 , Mito Hollyhock
Sat 9 Aug , Blaublitz Akita , 0 - 0 , Fujieda MYFC
Sat 9 Aug , V-V. Nagasaki , 2 - 1 , C. Sapporo
